abs	abs	abs
abs_mean	abs95d	abs95u
8468.0020400	8423.4896938	8512.5143862
9924.5630200	9821.6822154	10027.4438246
11298.0639600	11140.5645787	11455.5633413
12373.1672000	12139.0123953	12607.3220047
13458.4494800	13139.8630891	13777.0358709
15094.1068400	14763.1697665	15425.0439135
16598.4417600	16164.2807527	17032.6027673
17504.4741800	17121.2742872	17887.6740728
18457.0654600	18069.8253742	18844.3055458
19410.7451800	19034.2177302	19787.2726298
20281.5839000	19946.2817243	20616.8860757
20670.7093200	20441.8824618	20899.5361782
20770.9731200	20577.4912871	20964.4549529
21102.4699600	20833.0945698	21371.8453502
21607.5045800	21365.6304333	21849.3787267
21907.7678200	21701.7997534	22113.7358866
21763.6076400	21561.3059602	21965.9093198
21978.4332000	21767.7020430	22189.1643570
22124.7180800	21895.4256521	22354.0105079
22297.4673800	22087.0057756	22507.9289844
